row,subj,time,trial,stimulus,guess
333,66,1476469751807,2,BBBOBOOO,OBBBBBBB
334,66,1476469769895,3,OOOBBBOB,BOOOBBBO
335,66,1476469792736,4,BOBOBBBO,BOBOBOBO
336,67,1476469838835,0,BBOBBOBB,OBBBBOBB
337,67,1476469891739,1,BOOOOBBO,BBBBBBOO
338,67,1476469943026,2,BOBOOOOB,OBOBOBOB
339,67,1476469970089,3,BOOBOBOO,OOOOBOOO
340,67,1476469993601,4,OBOBBOOB,OBOOOOBB
341,68,1476470269958,0,OOOBBBOO,OOBOOBOO
342,68,1476470330529,1,BBOOBOBO,OOBOBBBB
343,68,1476470380536,2,BOBBBOBO,OBBOBOOO
344,68,1476470418761,3,BBOOBBBB,OOBOBOBO
345,68,1476470459445,4,OOBOOBOB,OOOBOBBO
346,69,1476471536882,0,BOBOBOOO,BOBBBOBO
347,69,1476471552866,1,OBBBBBBO,OBOOBBBO
348,69,1476471566385,2,OBBOOOBO,OBBBBOOB
349,69,1476471578089,3,OBBOBOOO,BOBOOOOO
350,69,1476471589465,4,BBOOOOBO,BOBBOOOB
351,70,1476471921446,0,OBOOOBOO,OOBOBOBO
352,70,1476471936093,1,OOOBBOOO,OOOOBOBO
353,70,1476471949797,2,BOOOBOBO,OOBOOBOB
354,70,1476471966725,3,BOBOOOOB,OBOBBOBO
355,70,1476471982100,4,BOBOOOOB,OBOBBOOO
356,71,1476472578748,0,BOBBBOBO,OOBOOOBB
357,71,1476472615119,1,OBBBBOBO,BBBOOOBO
358,71,1476472666381,2,BBOOOBBB,BOBBOOOB
359,71,1476472700259,3,OBBOOOBO,OOBBOBBB
360,71,1476472729551,4,OBBBOOBO,BBOBBOOB
361,72,1476472680588,0,OOOBOBBO,OOOOOBOB
362,72,1476472698948,1,BBBBBOOO,BBBOBBOO
363,72,1476472712731,2,OOOBOOOB,OBOBBOBB
364,72,1476472735050,3,OBBOOOOB,OOBOOBOO
365,72,1476472751524,4,OBOBBOOO,BOBOBOBO
366,73,1476473286980,0,BBOOBBBB,OBBBOBOO
367,73,1476473300971,1,BBBOBBOB,BBBBBBBO
368,73,1476473316523,2,OOOOOOOO,BBBOOOOO
369,73,1476473333595,3,BOBOBOBO,OBBBBOBO
370,73,1476473361163,4,BBOOBBBB,BBBBOBBO
371,74,1476473558851,0,OBBOBOBB,OBOOOBOO
372,74,1476473583642,1,OBOBOBOO,OBOBBBOB
373,74,1476473608682,2,OBBBBOOB,OBOOOBBO
374,74,1476473647360,3,OBOBOOOO,OBBBOBBO
375,74,1476473687154,4,OOBOBOBB,OBOBOOBO
376,75,1476475283389,0,BOOBBBBO,OOOBBOBB
377,75,1476475308508,1,BOBBBOBO,OBOBBBOO
378,75,1476475352558,2,BOOBBBOB,BOBBBOBO
379,75,1476475368111,3,BOBOBBOO,OBBBOBOB
380,75,1476475380141,4,BOOBOBBO,BBBBBBBB
381,76,1476475657366,0,BOBBBOOO,BBBOBBBB
382,76,1476475673971,1,BOOBBBBB,OBBBOBBB
383,76,1476475688777,2,BOOBOOOO,OBOOOOOO
384,76,1476475701635,3,OOOBOOOB,BBBBBBBB
385,76,1476475715135,4,OBOBBBOO,BOBOBOBB
386,77,1476476302239,0,OOBBOBOO,OOOOOOOO
387,77,1476476315447,1,BBBBBOBB,BOOOOBBO
388,77,1476476328111,2,OBBOOOBB,OOBOBOBO
389,77,1476476342658,3,OBBOOOBO,OOOOOOOO
390,77,1476476355934,4,BBOBBOOO,OOOOOOOO
391,78,1476477888961,0,BBBOBBOB,OBOBBOOB
392,78,1476477899209,1,BBBOBBBB,OBBBBOBO
393,78,1476477908059,2,BOBOOOBB,BOOBBBOB
394,78,1476477919045,3,BBBOOBOB,OBBOBBBB
395,78,1476477929550,4,BOOBOOBO,OBBOBBBO
396,79,1476478131157,0,OOBOOBOB,BBBOBBOB
397,79,1476478144016,1,OBBOOOBB,OOOBBBOB
398,79,1476478155080,2,OOBBOOBO,BOOBOBBO
399,79,1476478167134,3,OOBOOOBB,OBOOOOBB
400,79,1476478177427,4,OOBBBOOO,BOOOBBOB
401,80,1476478569543,0,BOOBOBBB,BOBBBBOO
402,80,1476478577001,1,BBOOBOOO,OBOOBOBO
403,80,1476478583857,2,OOOOOBBO,OOBBBBOB
404,80,1476478592451,3,BBBOBOBO,OOBBOOBB
405,80,1476478599502,4,BOOBOBBB,OBBBOOOO
406,81,1477408142682,0,BBOBBOBO,OBBOBBOB
407,81,1477408165205,1,BBOBBOBB,OBBBBBBB
408,81,1477408182898,2,BBBBBOBB,BBBBBBBB
409,81,1477408206786,3,OBOOOOOB,BBBBOOOO
410,81,1477408253185,4,OBBOBBOB,BBOBOBBO
411,82,1477408129138,0,OBBOOBOB,BOOOOBBO
412,82,1477408145472,1,OOOBBOBO,OOBBBOOO
413,82,1477408159247,2,BOOOBOBO,OBBBBBOB
414,82,1477408171537,3,BOOOOOOB,OBBBBBBB
415,82,1477408184001,4,OOOBBOBO,OBOOBOOO
416,83,1477408403577,0,OBBBBBBO,OOBOBBBB
417,83,1477408421650,1,OBBOOOOB,OBOBBBOO
418,83,1477408438833,2,OOBOBBOO,BOBBOOBO
419,83,1477408464031,3,OOOOOOBO,BBOOOOBB
420,83,1477408480679,4,BOOOOBBO,BOBBOOOB
421,84,1477408178635,0,BOOOBBOB,BBBOOBBO
422,84,1477408200099,1,OOOOBOBB,BOOOOBOB
423,84,1477408218579,2,OBOBBOOB,OOBOBBOO
424,84,1477408239359,3,BBOOBOBO,OOOOBBOB
425,84,1477408259863,4,OBBOOOOB,OOOBOOOO
426,85,1477415328394,0,BOOBBOBO,BBOBOBBO
427,85,1477415338060,1,BBBOBBOO,BOOBBOOB
428,85,1477415346852,2,BBOBOOBO,BBBBOOBO
429,85,1477415356872,3,OOBOOBOB,BBOBBOBO
430,85,1477415365895,4,BBBBOBOO,BBBOOBOB
431,86,1477408204300,0,BBBOBBOO,BBBBOBBB
432,86,1477408222245,1,BBBOOBOB,BBOBOOBO
