binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=1h
-36.9626	",B/,B/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,GBGB"
-36.2695	",B/,B/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GBGB/,/RB,"
-36.9626	",B/,B/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GBGB/,/RB,GB"
-36.9626	",B/,B/B,B/RBB/B,B/RBB/B,B/RBB/,/RB,GBGBGB/,/RB,"
-36.2695	",B/,B/RB//,/RB,GB/,/RB,GB/B,B/RB//,/RB,"
-36.9626	",B/,B/RB//,/RB,GB/,/RB,GB/B,B/RB//,/RB,GB"
-36.9626	",B/,B/RB//,/RB,GB/,/RB,GBGB/B,B/RB//,/RB,"
-36.2695	",B/,B/RB//,/RB,GB/B,B/RB//,/RB,GB/,/RB,"
-36.9626	",B/,B/RB//,/RB,GB/B,B/RB//,/RB,GB/,/RB,GB"
-36.9626	",B/,B/RB//,/RB,GB/B,B/RB//,/RB,GBGB/,/RB,"
-37.6558	",B/,B/RB//,/RB,GB/B,B/RB//,/RB,GBGBGB/,/RB,"
-36.9626	",B/,B/RB//,/RB,GBGB/,/RB,GB/B,B/RB//,/RB,"
-36.9626	",B/,B/RB//,/RB,GBGB/B,B/RB//,/RB,GB/,/RB,"
-36.2695	",B/,B/RB//B,B/RB//,/RB,GB/,/RB,GB/,/RB,"
-36.9626	",B/,B/RB//B,B/RB//,/RB,GB/,/RB,GB/,/RB,GB"
-36.9626	",B/,B/RB//B,B/RB//,/RB,GB/,/RB,GBGB/,/RB,"
-36.9626	",B/,B/RB//B,B/RB//,/RB,GBGB/,/RB,GB/,/RB,"
-37.6558	",B/,B/RB//B,B/RB//,/RB,GBGB/,/RB,GBGB/,/RB,"
-32.437	",B//RB,GB/,/RB,GB/,/RB,GB/B,B/RB//,/RB,"
