binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=2h
-15.5171  "G//R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R"
-13.7851  "G//R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,R"
-14.5988  "G//R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-12.3646  "G//R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,R"
-14.9755  "G//RR,//RR,//RR,//RR,//RR,//RR,//RR,//RR,//RR,//RR"
-13.3484  "G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,"
-14.9729  "G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//R"
-12.425 "G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-12.3105  "G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,"
-15.5392  "G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G//R"
-14.8924  "G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R"
-13.1552  "G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,R"
-14.6787  "G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-14.0467  "G/G/G/G/G/G/G/G/G/,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-13.9257  "G/G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-15.3095  "G/G/G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-15.3505  "G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,"
-14.8762  "G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,R"
-12.0123  "G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G//R,"
-12.3098  "G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,"
-15.2849  "G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,//R"
-14.7562  "G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G//R"
-14.8473  "G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R"
-13.1538  "G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,R"
-15.6562  "G/G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-12.5252  "G/R,/R,/R,/R,/R,/R,/R,/R,/R,"
-13.9491  "G/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.4898  "G/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-14.0706  "G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-11.6703  "G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-12.6509  "G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-13.4895  "G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-15.8894  "G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-12.4289  "G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R"
-13.7623  "G/R,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-13.9815  "G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,R"
-16.4898  "G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-12.2714  "G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,"
-15.5164  "G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G//R"
-14.8009  "G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-13.1247  "G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,R"
-15.8985  "G/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-14.2768  "G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-13.4545  "G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-15.6904  "GR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-15.543 "GR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-15.0393  "GR,GR,GR,GR,GR,GR,GR,GR,GR,R"
-15.0874  "GR,RR,RR,RR,RR,RR,RR,RR,RR,R"
-15.4166  "GR,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-15.9046  "R,/R,/R,/R,/R,/R,/R,/R,/R,"
-13.7565  "R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-14.2273  "R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-13.5747  "R,/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-14.9333  "R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-14.6958  "R,R,R,R,R,R,R,R,R,R"
-14.6507  "R/,/,/,/,/,/,/,/,/,"
-16.4355  "R/,/,/,/,/,/,/,/,/,/"
-11.537 "R/,/R,G/,/R,G/,/R,G/,/R,G/,/R"
-12.9565  "R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R"
-10.0785  "R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-12.4344  "R/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR"
-13.2311  "R/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-16.5978  "R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
# Global sample count:  31871512
# Elapsed time: 7201 seconds 
# Samples per second: 4425.98
